title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 6644 - Iterative Meth-Sys Eqns,"Iterative methods for linear and nonlinear systems of equations including Jacobi, G-S, SOR, CG, multigrid, Newton quasi-Newton, updating, and gradient-based methods. Crosslisted with CSE 6644.",['MATH 6643'],MATH 6643,MATH 6644,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Florian   Schaefer' 'Tobin Gregory  Isaac' 'Molei   Tao' 'Luca   Dieci'
 'Edmond   Chow']","spring2025, spring2024, fall2024, spring2023, and fall2023","Florian Schaefer, Tobin Gregory Isaac, Molei Tao, Luca Dieci, and Edmond Chow"
MATH 6645 - Numerical Approx Theory,"Theoretical and computational aspects of polynomial, rational, trigonometric, spline, and wavelet approximation.","['MATH 4640', 'MATH 4317']",MATH 4317 and MATH 4640,MATH 6645,['spring2025' 'spring2023' 'spring2021' 'spring2019' 'spring2017'],['Wenjing   Liao' 'Sung Ha   Kang' 'Jeffrey   Geronimo'],"spring2025, spring2023, spring2021, spring2019, and spring2017","Wenjing Liao, Sung Ha Kang, and Jeffrey Geronimo"
MATH 6646 - Numer Meth: Ord Diff Eqn,Analysis and implementation of numerical methods for initial and two-point boundary value problems for ordinary differential equations.,"['MATH 2403', 'MATH 4640']",MATH 2403 and MATH 4640,MATH 6646,['spring2024' 'spring2022' 'spring2020' 'spring2018' 'spring2016'],"['Rachel Ann  Kuske' 'Ronald Wesley  Shonkwiler' 'Sung Ha   Kang'
 'Silas D  Alben' 'Hao-Min   Zhou']","spring2024, spring2022, spring2020, spring2018, and spring2016","Rachel Ann Kuske, Ronald Wesley Shonkwiler, Sung Ha Kang, Silas D Alben, and Hao-Min Zhou"
MATH 6647 - Numeric Meth:Dynamic Sys,Approximation of the dynamical structure of a differential equation and preservation of dynamical structure under discretization. Must be familiar with dynamical systems and numerical methods for initial and boundary value problems in ordinary differential equations.,"['MATH 4641', 'MATH 4640']",MATH 4640 and MATH 4641,MATH 6647,['spring2025' 'spring2023' 'spring2021' 'spring2019' 'spring2017'],['Yingjie   Liu' 'Luca   Dieci'],"spring2025, spring2023, spring2021, spring2019, and spring2017","Yingjie Liu, and Luca Dieci"
MATH 6701 - Math Meth-Appli Sci I,"Review of linear algebra and ordinary differential equations, brief introduction to functions of a complex variable.","['MATH 2403', 'MATH 4305', 'MATH 2406']",MATH 2403 and (MATH 2406 or MATH 4305 ),MATH 6701,['spring2025' 'fall2024' 'fall2023' 'fall2022' 'fall2021'],"['Federico   Bonetto' 'Salah   Mehdi' 'John   McCuan' 'Sung Ha   Kang'
 'Gunter H  Meyer']","spring2025, fall2024, fall2023, fall2022, and fall2021","Federico Bonetto, Salah Mehdi, John McCuan, Sung Ha Kang, and Gunter H Meyer"
MATH 6702 - Math Meth-Appl Sci II,Review of vector calculus and its applications to partial differential equations.,"['MATH 2406', 'MATH 2403', 'MATH 4305', 'MATH 6701']",MATH 6701 or (MATH 2406 and MATH 2403 ) or (MATH 2403 and MATH 4305 ),MATH 6702,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],['Salah   Mehdi' 'Luca   Dieci' 'Wenjing   Liao' 'Yao   Yao' 'Wing S  Li'],"spring2025, spring2024, spring2023, spring2022, and spring2021","Salah Mehdi, Luca Dieci, Wenjing Liao, Yao Yao, and Wing S Li"
MATH 6705 - Modeling and Dynamics,"Mathematical methods for solving problems in the life sciences.  Models-based course on basic facts from the theory of ordinary differential equations and numerical methods of their solution.  Introduction to the control theory, diffusion theory, maximization, minimization and curve fitting.  Math majors may not use this course toward any degree in the School of Mathematics.","['MATH 1512', 'MATH 1502']",MATH 1502 or MATH 1512,MATH 6705,['fall2017' 'fall2016' 'fall2015' 'fall2014' 'fall2013'],['Rafael   De la Llave' 'Leonid   Bunimovich'],"fall2017, fall2016, fall2015, fall2014, and fall2013","Rafael De la Llave, and Leonid Bunimovich"
MATH 6710 - Numerical Methods-CSE I,"Introduction to numerical algorithms widely used in computational science and engineering. Numerical linear algebra, linear programming, and applications. Crosslisted with CSE 6710.","['MATH 2401', 'CS 1332', 'CS 1372', 'MATH 2411', 'MATH 2605']",(MATH 2401 or MATH 2411 or MATH 2605 ) and (CS 1332 or CS 1372 ),MATH 6710,[],[],,
MATH 6711 - Numerical Methods-CSE II,Efficient numerical techniques for solving partial differential equations and large-scale systems of equations arising from discretization of partial differential equations or variational problems in applications in science and engineering. Crosslisted with CSE 6711.,"['MATH 2411', 'MATH 2605', 'MATH 2401']",MATH 2401 or MATH 2411 or MATH 2605,MATH 6711,[],[],,
MATH 6759 - Stoch Process-Finance I,"Mathematical modeling of financial markets, derivative securities pricing, and portfolio optimization.  Concepts from probability and mathematics are introduced as needed. Crosslisted with ISYE 6759.","['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225,MATH 6759,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Antonius   Dieker' 'Vladimir   Koltchinskii' 'Shijie   Deng'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Antonius Dieker, Vladimir Koltchinskii, and Shijie Deng"
MATH 6761 - Stochastic Processes I,"Discrete time Markov chains, Poisson processes, and renewal processes. Transient and limiting behavior.  Average cost and utility measures of systems.  Algorithms for computing performance measures.  Modeling of inventories, and flows in manufacturing and computer networks. Crosslisted with ISYE 6761.","['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225,MATH 6761,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],"['Sigrun   Andradottir' 'Konstantin   Tikhomirov' 'Siva Theja   Maguluri'
 'Robert D  Foley' 'David   Goldsman']","fall2024, fall2023, fall2022, fall2021, and fall2020","Sigrun Andradottir, Konstantin Tikhomirov, Siva Theja Maguluri, Robert D Foley, and David Goldsman"
MATH 6762 - Stochastic Processes II,"Continuous time Markov chains. Uniformization, transient and limiting behavior.  Brownian motion and martingales. Optional sampling and convergence.  Modeling of inventories, finance, flows in manufacturing and computer networks. Crosslisted with ISYE 6762","['ISYE 6761', 'MATH 6761']",MATH 6761 or ISYE 6761,MATH 6762,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Siva Theja   Maguluri' 'Debankur   Mukherjee' 'Enlu   Zhou'
 'David   Goldberg' 'Antonius   Dieker']","spring2025, spring2024, spring2023, spring2022, and spring2021","Siva Theja Maguluri, Debankur Mukherjee, Enlu Zhou, David Goldberg, and Antonius Dieker"
MATH 6767 - Sys-Computation Finance,"Computational Finance Introduction to large scale system design to support computational finance for options, stocks, or other financial instruments. Some programming experience, and previous exposure to stocks, bonds, and options required. Crosslisted with ISYE 6767",[],,MATH 6767,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Shijie   Deng' 'Maciej   Capinski' 'Stephen   Demko'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Shijie Deng, Maciej Capinski, and Stephen Demko"
MATH 6769 - Fixed Income Securities,"Description, institutional features, and mathematical modeling of fixed income securities.  Use of both deterministic and stochastic models. Crosslisted with ISYE 6769.","['MATH 3215', 'MATH 3225', 'MGT 6060', 'MGT 6078']",MATH 3215 or MATH 3225 and (MGT 6060 or MGT 6078 ),MATH 6769,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],"['Satyajit   Karnik' 'Alex Chia  Hsu' 'Chayawat   Ornthanalai'
 'Stephen   Demko' 'Robert P  Kertz']","spring2025, spring2024, spring2023, spring2022, and spring2021","Satyajit Karnik, Alex Chia Hsu, Chayawat Ornthanalai, Stephen Demko, and Robert P Kertz"
MATH 6783 - Financial Data Analysis,Fundamentals of statistical inference for models used in the modern analysis of financial data. Crosslisted with ISYE 6783.,"['MATH 3215', 'MATH 3225']",MATH 3215 or MATH 3225,MATH 6783,['spring2021' 'spring2020' 'spring2019' 'spring2018' 'spring2017'],"['David   Goldsman' 'Yajun   Mei' 'Marcus C  Spruill' 'Liang   Peng'
 'Xiaoming   Huo']","spring2021, spring2020, spring2019, spring2018, and spring2017","David Goldsman, Yajun Mei, Marcus C Spruill, Liang Peng, and Xiaoming Huo"
